Name,Price,Release Date,Publisher,Developer,PerPosRev30,TNR30,PerPosRevAT,TNRAT,Genre,Storage,Mac,Windows,SteamLinux,MacWindow,MacSteam,WindowSteam,All,AvgNRAT,AvgNR30,AvgPrice
FINAL FANTASY III,17.99,7/28/2021,"Square Enix,","Square Enix,",91,84,94,802,RPG,1,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
FINAL FANTASY XV WINDOWS EDITION,59.99,3/6/2018,"Square Enix,","Square Enix,",88,522,82,28476,RPG,100,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
Roboquest,19.99,8/20/2020,"RyseUp Studios,","RyseUp Studios,",90,64,94,2176,Indie,6,0,1,0,0,0,0,0,802.9269841,12.4984127,25.0667619
Frozenheim,24.99,5/20/2021,"Hyperstrange,","Paranoid Interactive,",74,62,71,1320,Strategy,5,0,1,0,0,0,0,0,4109.025381,81.53553299,41.05142132
Soundpad,0.00,11/9/2016,"Leppsoft,","Leppsoft,",96,1092,97,28748,Utilities,20,0,1,0,0,0,0,0,1101.04878,36.63414634,47.6202439
The Long Dark,29.99,8/1/2017,"Hinterland Studio Inc.,","Hinterland Studio Inc.,",90,1216,91,72458,Survival,7,1,1,1,1,1,1,1,59503.38889,847.0740741,34.16833333
Thief Simulator,36.98,11/9/2018,"PlayWay S.A., Console Labs S.A.,","Noble Muffins,",86,415,86,13072,Simulation,5,1,1,0,1,0,0,0,2702.746479,57.28450704,36.66304225
Ghostrunner,29.99,10/27/2020,"5N/A5 Games,","One More Level, 3D Realms, Slipgate Ironworks™, All in! Games,",90,1279,91,25327,Action,22,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
My Summer Car,14.99,10/24/2016,"Amistech Games,","Amistech Games,",92,765,93,33647,Automobile,1,0,1,0,0,0,0,0,11350.69231,235.8461538,18.14384615
Deadside,39.99,4/14/2020,"Bad Pixel,","Bad Pixel,",78,312,79,18487,Survival,25,0,1,0,0,0,0,0,59503.38889,847.0740741,34.16833333
DiRT Rally 2.N/A,19.99,2/25/2019,"Codemasters, Electronic Arts,","Codemasters,",89,567,85,16979,Racing,100,0,1,0,0,0,0,0,4392.66055,184.4678899,30.58091743
Volcanoids,29.99,1/29/2019,"Volcanoid ,","Volcanoid,",90,94,86,3119,Early,5,0,1,1,0,0,1,0,2148.634615,61.64423077,23.27759615
DARK SOULS™ II: Scholar of the First Sin,29.99,4/1/2015,"BANDAI NAMCO Entertainment, FromSoftware, Inc,","FromSoftware, Inc,",83,666,86,46951,Souls-like,23,0,1,0,0,0,0,0,30280.0625,456.875,35.1775
Fantasy Grounds Unity,39.99,11/5/2020,"SmiteWorks USA, LLC,","SmiteWorks USA, LLC,",81,11,87,276,RPG,0.2,1,1,1,1,1,1,1,4388.014535,70.58139535,41.3109593
Golden Krone Hotel,9.99,10/26/2017,"Vulgat,","Vulgat,",0,0,95,165,Traditional,0.5,1,1,1,1,1,1,1,767.1428571,4.928571429,12.98785714
X-Plane 11,59.99,3/30/2017,"Laminar Research,","Laminar Research,",95,189,91,11322,Simulation,20,1,1,1,1,1,1,1,2702.746479,57.28450704,36.66304225
"Star Wars: Battlefront 2 (Classic, 2N/AN/A5)",39.99,11/1/2005,"Lucasfilm, LucasArts, Disney,","Pandemic Studios,",97,201,93,39022,Action,0,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Assassin's Creed™: Director's Cut Edition,19.99,4/9/2008,"Ubisoft,","Ubisoft Montreal,",84,176,83,10920,Action,0,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Superliminal,19.99,11/5/2020,"Pillow Castle,","Pillow Castle,",93,317,94,10795,Puzzle,12,1,1,1,1,1,1,1,4557.517647,50.68235294,26.37352941
War on the Sea,39.99,2/2/2021,"Killerfish Games,","Killerfish Games,",83,59,77,1324,Strategy,4,1,1,0,1,0,0,0,4109.025381,81.53553299,41.05142132
Mortal Kombat 11 Ultimate,59.99,11/17/2020,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Demeo,19.99,5/6/2021,"Resolution Games,","Resolution Games,",86,22,90,760,Tabletop,3,0,1,0,0,0,0,0,4422.625,82.5,19.86
RIDE 4,49.99,10/8/2020,"Milestone S.r.l.,","Milestone S.r.l.,",82,105,76,2659,Racing,43,0,1,0,0,0,0,0,4392.66055,184.4678899,30.58091743
Zero Caliber VR,39.99,11/9/2018,"XREAL Games,","XREAL Games,",57,38,83,2714,VR,20,0,1,0,0,0,0,0,3732.898305,67.79661017,29.26067797
South Park™: The Fractured But Whole™,19.99,10/16/2017,"Ubisoft,","Ubisoft San Francisco,",88,209,80,15088,RPG,20,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
HARD BULLET,19.99,10/22/2020,"GexagonVR,","GexagonVR,",85,102,80,733,Simulation,12,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
EVERSPACE™ 2,19.99,1/18/2021,"ROCKFISH Games,","ROCKFISH Games,",94,77,91,3068,Early,75,0,1,0,0,0,0,0,2148.634615,61.64423077,23.27759615
Jupiter Hell,24.99,8/5/2021,"Hyperstrange,","ChaosForge,",88,53,92,842,Roguelike,2,1,1,1,1,1,1,1,6308.1,88.43333333,20.75666667
THE GAME OF LIFE 2,9.99,12/11/2020,"Marmalade Game Studio Ltd,","Marmalade Game Studio Ltd,",77,45,76,792,Board,0.6,0,1,0,0,0,0,0,2119.117647,26.41176471,17.81352941
Turing Complete,19.99,10/2/2021,"LevelHead,","LevelHead,",0,0,91,182,Programming,0.512,1,1,1,1,1,1,1,1966.125,12.25,18.11375
Monster Energy Supercross - The Official Videogame 4,49.99,3/11/2021,"Milestone S.r.l.,","Milestone S.r.l.,",75,12,64,284,Racing,17,0,1,0,0,0,0,0,4392.66055,184.4678899,30.58091743
Eye of the Temple,19.99,10/14/2021,"Rune Skovbo Johansen,","Rune Skovbo Johansen,",0,0,96,57,Exploration,0.85,0,1,0,0,0,0,0,2061.117647,94.35294118,22.31352941
Lethal League Blaze,49.99,10/24/2018,"Team Reptile,","Team Reptile,",97,41,97,3461,Action,4,1,1,1,1,1,1,1,3264.582596,57.48230088,45.25634218
Cruelty Squad,19.99,6/16/2021,"Consumer Softproducts,","Consumer Softproducts,",97,394,97,4359,FPS,1,0,1,0,0,0,0,0,25383.08537,530.8170732,72.07170732
Tails of Iron,24.99,9/17/2021,"United Label, CI Games,","Odd Bug Studio,",0,0,91,1822,Action,2,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
BioShock: The Collection,29.99,9/16/2016,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
"Warhammer 4N/A,N/AN/AN/A: Battlesector",39.99,7/22/2021,"Slitherine Ltd.,","Black Lab Games,",91,85,91,1396,Strategy,25,0,1,0,0,0,0,0,4109.025381,81.53553299,41.05142132
Company of Heroes Franchise Edition,69.99,11/3/2014,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Tormented Souls,19.99,8/27/2021,"PQube Limited,","Dual Effect, Abstract Digital,",93,380,94,1522,Survival,4,0,1,0,0,0,0,0,59503.38889,847.0740741,34.16833333
S.T.A.L.K.E.R.: Shadow of Chernobyl,19.99,3/20/2007,"GSC Game World,","GSC Game World,",96,296,95,18758,Atmospheric,0,0,1,0,0,0,0,0,9652.3125,98.0625,31.911875
FINAL FANTASY II,14.99,7/28/2021,"Square Enix,","Square Enix,",75,91,77,741,RPG,1,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
Rising Storm 2: Vietnam,29.99,5/30/2017,"Tripwire Interactive,","Antimatter Games, Tripwire Interactive,",0,0,86,32114,FPS,60,0,1,0,0,0,0,0,25383.08537,530.8170732,72.07170732
Firewatch,19.99,2/9/2016,"Panic, Campo Santo,","Campo Santo,",93,259,88,50137,Adventure,4,1,1,1,1,1,1,1,1660.002024,30.6437247,53.61291498
Scarlet Hollow,19.99,6/11/2021,"Black Tabby Games,","Black Tabby Games,",10,12,99,167,Early,2,1,1,1,1,1,1,1,2148.634615,61.64423077,23.27759615
Unravel,19.99,2/9/2016,"Electronic Arts,","Coldwood Interactive,",94,38,91,1347,Action,0,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
EARTH DEFENSE FORCE 5,39.99,7/11/2019,"D3 PUBLISHER,","SANDLOT,",94,116,94,4747,Action,30,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Alien: Isolation,29.99,10/6/2014,"SEGA, Feral Interactive (Mac), Feral Interactive (Linux),","Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux),",92,298,92,32662,Horror,35,1,1,1,1,1,1,1,9720.064,250.024,25.10824
Lake,39.99,9/1/2021,"Whitethorn Digital, Gamious,","Gamious,",88,200,83,802,Adventure,2,0,1,0,0,0,0,0,1660.002024,30.6437247,53.61291498
IL-2 Sturmovik: Battle of Stalingrad,49.99,10/22/2014,"1C Game Studios,","1C Game Studios,",91,78,80,4871,Simulation,55,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
Unrailed!,54.97,9/23/2020,"Daedalic Entertainment, bilibili(China),","Indoor Astronaut,",98,165,93,6976,Open,2,1,1,1,1,1,1,1,52041.20455,856.2045455,31.81897727
Citystate II,44.99,9/23/2021,"Andy Sztark,","Andy Sztark,",0,0,73,257,City,4,0,1,0,0,0,0,0,10080,151.6071429,109.3332143
Baldur's Gate II: Enhanced Edition,151.89,11/15/2013,"Beamdog,","Beamdog,",95,84,90,5738,RPG,4,1,1,1,1,1,1,1,4388.014535,70.58139535,41.3109593
Vampire: The Masquerade - Bloodlines,960.47,11/16/2004,"Activision,","Troika Games,",91,84,94,9005,RPG,0,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
Far Cry 3,59.99,12/4/2012,"Ubisoft,","Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai,",89,713,90,69499,Open,0,0,1,0,0,0,0,0,52041.20455,856.2045455,31.81897727
FINAL FANTASY,11.99,7/28/2021,"Square Enix,","Square Enix,",93,204,93,2328,RPG,1,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
Streets of Rogue,14.99,7/12/2019,"tinyBuild,","Matt Dabrowski,",98,90,96,10461,Roguelite,0.32,1,1,1,1,1,1,1,8036.8,158.6,17.39066667
Youtubers Life,24.99,5/18/2016,"UPLAY Online, 🚀 Raiser Games,","UPLAY Online,",81,118,76,12542,Management,3,1,1,1,1,1,1,1,5486.619048,92.85714286,32.84714286
LEGO® Star Wars™ - The Complete Saga,39.99,11/12/2009,"LucasArts, Lucasfilm, Disney,","Traveller's Tales,",98,191,96,12206,LEGO,0,0,1,0,0,0,0,0,4255.642857,95.57142857,29.99
Death Trash,39.99,8/5/2021,"Crafting Legends,","Crafting Legends,",95,134,96,1525,Early,1,1,1,1,1,1,1,1,2148.634615,61.64423077,23.27759615
Rise of Nations: Extended Edition,59.99,6/12/2014,"Xbox Game Studios,","SkyBox Labs, Big Huge Games,",96,81,93,8598,Strategy,3,0,1,0,0,0,0,0,4109.025381,81.53553299,41.05142132
Rhythm Doctor,15.99,2/26/2021,"7th Beat Games, indienova,","7th Beat Games,",98,383,98,11088,Music,1,1,1,0,1,0,0,0,5611.5,251,22.8025
Northern Journey,19.99,8/18/2021,"Slid Studio,","Slid Studio,",10,16,10,35,FPS,7,0,1,0,0,0,0,0,25383.08537,530.8170732,72.07170732
Walkabout Mini Golf VR,14.99,7/15/2021,"Mighty Coconut,","Mighty Coconut,",10,94,98,434,Sports,2,0,1,0,0,0,0,0,2365.833333,70.66666667,42.68636364
Men of War: Assault Squad 2,29.99,5/15/2014,"1C Entertainment,","Digitalmindsoft,",92,306,90,23669,Strategy,6,0,1,0,0,0,0,0,4109.025381,81.53553299,41.05142132
Yakuza: Like a Dragon,59.99,11/10/2020,"SEGA,","Ryu Ga Gotoku Studio,",94,457,96,10064,RPG,40,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
5D Chess With Multiverse Time Travel,15.99,7/22/2020,"Conor Petersen, Thunkspace, LLC,","Conor Petersen, Thunkspace, LLC,",97,131,97,3468,Psychological,50,1,1,1,1,1,1,1,5530.75,174.8125,25.2375
Half-Life 2,39.99,11/16/2004,"Valve,","Valve,",97,1151,97,97445,FPS,6.5,1,1,0,1,0,0,0,25383.08537,530.8170732,72.07170732
Stone Story RPG,19.99,8/8/2019,"Martian Rex,","Martian Rex, standardcombo,",91,12,89,471,RPG,0.3,1,1,1,1,1,1,1,4388.014535,70.58139535,41.3109593
The Sims™ 3,44.99,6/2/2009,"Electronic Arts,","The Sims Studio,",92,175,85,22588,Life,0,0,1,0,0,0,0,0,5944.1,192.2,30.29
Ambition: A Minuet in Power,14.99,8/18/2021,"Iceberg Interactive,","Joy Manufacturing Co.,",10,16,96,63,Dating,1,1,1,0,1,0,0,0,2009.5,20.375,15.24
SuchArt: Genius Artist Simulator,44.99,7/14/2021,"HypeTrain Digital,","Voolgi,",96,129,97,1058,Simulation,4,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
Resident Evil 3,29.99,4/2/2020,"CAPCOM Co., Ltd.,","CAPCOM Co., Ltd.,",86,259,77,32534,Action,45,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Starship Troopers - Terran Command,29.99,3/31/2022,"Slitherine Ltd.,","The Artistocrats,",0,0,0,0,Strategy,10,0,1,0,0,0,0,0,4109.025381,81.53553299,41.05142132
Mass Effect™: Andromeda Deluxe Edition,59.99,3/20/2017,"Electronic Arts,","BioWare,",78,253,78,5909,Character,55,0,1,0,0,0,0,0,3126,152,37.49
Overcooked! All You Can Eat,59.99,3/23/2021,"Team17 Digital,","Team17 Digital, Ghost Town Games,",55,45,57,549,Multiplayer,8,0,1,0,0,0,0,0,24488.5814,437.1395349,52.09069767
Besiege,14.99,2/18/2020,"Spiderling Studios,","Spiderling Studios,",93,201,95,37990,Building,1,1,1,1,1,1,1,1,14549.76923,218,43.59153846
Wingspan,2.99,9/17/2020,"Monster Couch, Stonemaier Games, indienova,","Monster Couch,",91,120,94,3021,Board,2,1,1,0,1,0,0,0,2119.117647,26.41176471,17.81352941
My Time At Portia,19.99,1/15/2019,"Team17,","Pathea Games,",90,392,92,26288,RPG,6,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
Moon Hunters,14.99,3/10/2016,"Kitfox Games,","Kitfox Games,",75,24,80,2768,Relaxing,2,1,1,1,1,1,1,1,4243.4,46.8,26.99
Five Nights at Freddy's,29.99,8/18/2014,"Scott Cawthon,","Scott Cawthon,",93,292,91,22305,Horror,0.25,0,1,0,0,0,0,0,9720.064,250.024,25.10824
Crysis® 3,29.99,2/19/2013,"Electronic Arts,","Crytek,",80,126,86,3278,Action,17,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Monolith,7.99,6/7/2017,"Team D-13,","Team D-13,",10,13,98,1229,Roguelite,25,0,1,1,0,0,1,0,8036.8,158.6,17.39066667
CARRION,19.99,7/23/2020,"Devolver Digital,","Phobia Game Studio,",94,176,94,13147,Villain,0.5,1,1,1,1,1,1,1,4671,58.66666667,18.32333333
Batman: Arkham Asylum Game of the Year Edition,19.99,3/26/2010,"Warner Bros. Interactive Entertainment,","Rocksteady Studios,",96,694,96,23914,Action,0,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Dragon's Dogma: Dark Arisen,9.99,1/15/2016,"Capcom,","Capcom,",91,145,89,18876,RPG,20,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
SimCity™ 4 Deluxe Edition,19.99,9/22/2003,"Electronic Arts, Aspyr (Mac),","EA - Maxis, Aspyr (Mac),",10,50,78,5687,City,0,1,1,0,1,0,0,0,10080,151.6071429,109.3332143
Elite Dangerous,261.81,4/2/2015,"Frontier Developments,","Frontier Developments,",79,463,76,58329,Space,25,0,1,0,0,0,0,0,12894.12903,153.4516129,44.04709677
Lords and Villeins,29.99,9/30/2021,"1C Entertainment,","Honestly Games,",0,0,88,70,Colony,0.75,0,1,0,0,0,0,0,9991,157.4,32.238
Half-Life,39.99,11/8/1998,"Valve,","Valve,",95,695,96,52007,FPS,0,1,1,1,1,1,1,1,25383.08537,530.8170732,72.07170732
shapez.io,9.99,6/7/2020,"tobspr Games, Doyoyo Games,","Tobias Springer,",97,151,97,6074,Strategy,0.3,0,1,1,0,0,1,0,4109.025381,81.53553299,41.05142132
Lost in Random™,29.99,9/10/2021,"Electronic Arts,","Zoink, Thunderful,",0,0,91,440,Action,20,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Outlast 2,109.95,4/25/2017,"Red Barrels,","Red Barrels,",90,356,90,25209,Horror,30,0,1,0,0,0,0,0,9720.064,250.024,25.10824
There Is No Game: Wrong Dimension,29.99,8/6/2020,"Draw Me A Pixel,","Draw Me A Pixel,",98,236,98,11991,Adventure,0.95,1,1,0,1,0,0,0,1660.002024,30.6437247,53.61291498
FIVE NIGHTS AT FREDDY'S: HELP WANTED,29.99,5/28/2019,"ScottGames,","Steel Wool Studios,",95,93,97,5127,Horror,11,0,1,0,0,0,0,0,9720.064,250.024,25.10824
Yakuza Kiwami 2,59.99,5/9/2019,"SEGA,","SEGA,",90,146,95,6381,Action,42,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Call to Arms - Basic Edition,14.99,7/30/2015,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Post Scriptum,49.99,8/9/2018,"Offworld Industries,","Periscope Games,",75,99,80,12128,World,35,0,1,0,0,0,0,0,7622.25,54.125,210.76625
Divinity: Original Sin - Enhanced Edition,19.99,10/27/2015,"Larian Studios,","Larian Studios,",87,139,89,16376,RPG,10,1,1,1,1,1,1,1,4388.014535,70.58139535,41.3109593
TEKKEN 7,49.99,6/1/2017,"BANDAI NAMCO Entertainment,","BANDAI NAMCO Studios Inc.,",80,1049,82,40633,Fighting,60,0,1,0,0,0,0,0,10982.21739,220.2173913,41.51173913
House Party,19.99,6/30/2017,"Eek! Games, LLC,","Eek! Games, LLC,",82,174,88,9302,Sexual,5,0,1,0,0,0,0,0,2270.12,55.18666667,18.34426667
Divinity: Original Sin 2 - Eternal Edition,39.99,9/14/2017,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Streamer Life Simulator,19.99,8/21/2020,"Cheesecake Dev,","Cheesecake Dev,",85,123,79,3561,Simulation,5,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,59.99,12/4/2020,"Square Enix,","Square Enix,",94,223,94,3301,JRPG,40,0,1,0,0,0,0,0,4642,75.6,33.38566667
The Stanley Parable,59.99,10/17/2013,"Galactic Cafe,","Galactic Cafe,",99,124,92,35488,Comedy,3,1,1,1,1,1,1,1,12146.55556,66,30.76333333
Minecraft Dungeons Ultimate DLC Bundle,29.99,9/22/2021,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Skullgirls 2nd Encore,24.99,8/22/2013,"Autumn Games,","Hidden Variable Studios,",92,149,95,15784,Fighting,2,1,1,1,1,1,1,1,10982.21739,220.2173913,41.51173913
Just Die Already,14.99,5/20/2021,"Curve Digital,","DoubleMoose,",89,48,78,638,Open,2.5,0,1,0,0,0,0,0,52041.20455,856.2045455,31.81897727
Blood Trail,39.99,3/27/2019,"Electrovore,","Electrovore,",80,57,73,1194,Gore,20,0,1,0,0,0,0,0,4750.5,85.3,33.49
RPG Maker MZ,9.99,8/27/2020,"Degica,","Gotcha Gotcha Games, KADOKAWA, Yoji Ojima,",87,24,77,537,RPG,4,1,1,0,1,0,0,0,4388.014535,70.58139535,41.3109593
Parkitect,59.99,11/29/2018,"Texel Raptor,","Texel Raptor,",92,55,94,4363,Management,2,1,1,1,1,1,1,1,5486.619048,92.85714286,32.84714286
Hotel Magnate,29.99,10/5/2021,"Crytivo,","Arcade Oven,",0,0,70,148,Management,1,0,1,1,0,0,1,0,5486.619048,92.85714286,32.84714286
Encased: A Sci-Fi Post-Apocalyptic RPG,39.99,9/7/2021,"Prime Matter,","Dark Crystal Games,",76,529,79,2208,RPG,20,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
Infinifactory,24.99,6/30/2015,"Zachtronics,","Zachtronics,",0,0,95,1509,Puzzle,1.5,1,1,1,1,1,1,1,4557.517647,50.68235294,26.37352941
Legend Bowl,59.99,9/2/2021,"Super Pixel Games,","Super Pixel Games,",93,86,93,343,Sports,0.5,0,1,0,0,0,0,0,2365.833333,70.66666667,42.68636364
Far Cry® New Dawn,19.99,2/15/2019,"Ubisoft,","Ubisoft Montreal, Ubisoft Kiev, Ubisoft Shanghai,",77,318,77,18528,Open,30,0,1,0,0,0,0,0,52041.20455,856.2045455,31.81897727
Swords of Legends Online,39.99,7/9/2021,"Gameforge 4D GmbH,","Wangyuan Shengtang Entertainment Technology CO., 上海烛龙信息科技有限公司,",70,128,73,3649,MMORPG,80,0,1,0,0,0,0,0,26927,768.6666667,23.32333333
OVR Toolkit,34.99,6/28/2019,"Curtis English,","Curtis English,",86,37,89,1350,Utilities,0.8,0,1,0,0,0,0,0,1101.04878,36.63414634,47.6202439
Clone Drone in the Danger Zone,19.99,7/27/2021,"Doborog Games,","Doborog Games,",96,453,96,12967,Robots,1,1,1,0,1,0,0,0,6483.5,226.5,13.49
Hydroneer,29.99,5/8/2020,"Foulball Hangover,","Foulball Hangover,",87,304,87,7312,Simulation,6,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
VR Kanojo / VRカノジョ,19.99,4/9/2018,"ILLUSION,","ILLUSION,",83,12,77,1348,Sexual,4,0,1,0,0,0,0,0,2270.12,55.18666667,18.34426667
Resident Evil 7 Biohazard,29.99,1/24/2017,"CAPCOM Co., Ltd.,","CAPCOM Co., Ltd.,",95,408,94,34279,Horror,24,0,1,0,0,0,0,0,9720.064,250.024,25.10824
Layers of Fear: Masterpiece Edition,22.99,8/2/2016,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Skul: The Hero Slayer,19.99,1/20/2021,"NEOWIZ,","SouthPAW Games,",92,699,93,22370,Indie,1,1,1,1,1,1,1,1,802.9269841,12.4984127,25.0667619
Rocksmith™,59.99,10/16/2012,"Ubisoft,","Ubisoft - San Francisco,",0,0,89,533,Music,0,0,1,0,0,0,0,0,5611.5,251,22.8025
Dishonored 2,59.99,11/11/2016,"Bethesda Softworks,","Arkane Studios,",94,536,87,26584,Stealth,60,0,1,0,0,0,0,0,9300.37037,124.7407407,39.62
Need for Speed™ Hot Pursuit Remastered,14.99,11/6/2020,"Electronic Arts,","Stellar Entertainment Limited,",77,348,78,2615,Racing,45,0,1,0,0,0,0,0,4392.66055,184.4678899,30.58091743
Foundation,14.99,2/1/2019,"Polymorph Games,","Polymorph Games,",90,220,86,8773,City,0,0,1,0,0,0,0,0,10080,151.6071429,109.3332143
Intruder,39.99,3/1/2019,"Superboss Games,","Superboss Games,",94,71,89,2979,Multiplayer,1,1,1,0,1,0,0,0,24488.5814,437.1395349,52.09069767
Obsideo,4.99,8/27/2021,"Kyle's Garage,","Kyle's Garage,",64,67,78,321,Early,15,0,1,0,0,0,0,0,2148.634615,61.64423077,23.27759615
FINAL FANTASY X/X-2 HD Remaster,29.99,5/12/2016,"Square Enix,","Square Enix,",84,164,90,10753,JRPG,37,0,1,0,0,0,0,0,4642,75.6,33.38566667
Melvor Idle,19.99,11/19/2020,"Malcs,","Malcs,",96,118,93,2242,Casual,0.2,1,1,1,1,1,1,1,591.1660777,19.47349823,25.58780919
Night in the Woods,39.99,2/21/2017,"Finji,","Infinite Fall,",97,112,94,10651,Story,8,1,1,1,1,1,1,1,10374.79167,185.25,30.82333333
Prison Architect,89.97,10/6/2015,"Paradox Interactive,","Double Eleven, Introversion Software,",84,449,91,47334,Simulation,0,1,1,1,1,1,1,1,2702.746479,57.28450704,36.66304225
Jurassic World Evolution,261.81,6/12/2018,"Frontier Developments,","Frontier Developments,",92,396,85,40405,Building,8,0,1,0,0,0,0,0,14549.76923,218,43.59153846
Borderlands 2 VR,49.99,10/22/2019,"2K,","Gearbox Software,",0,0,67,648,Action,5,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Sid Meier's Civilization®: Beyond Earth™,39.99,10/23/2014,"2K, Aspyr (Mac), Aspyr (Linux),","Firaxis Games, Aspyr (Mac), Aspyr (Linux),",81,54,58,12346,Strategy,8,1,1,1,1,1,1,1,4109.025381,81.53553299,41.05142132
SCARLET NEXUS,19.99,6/24/2021,"BANDAI NAMCO Entertainment,","BANDAI NAMCO Studios Inc.,",88,348,85,5840,Action,50,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Kingdom Two Crowns,19.99,12/11/2018,"Raw Fury,","Stumpy🐙Squid, Fury Studios, Coatsink,",96,155,89,7122,Strategy,4,1,1,1,1,1,1,1,4109.025381,81.53553299,41.05142132
Animalia Survival,19.99,9/9/2021,"High Brazil Studio,","High Brazil Studio,",0,0,65,295,Simulation,5,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
Dorfromantik,44.99,3/25/2021,"Toukana Interactive,","Toukana Interactive,",95,240,96,7851,Early,0.5,0,1,0,0,0,0,0,2148.634615,61.64423077,23.27759615
We Were Here Together,53.96,10/10/2019,"Total Mayhem Games,","Total Mayhem Games,",85,120,86,5886,Online,20,1,1,0,1,0,0,0,1368.375,47,32.36125
The Jackbox Party Pack,29.99,11/26/2014,"Jackbox Games, Inc.,","Jackbox Games, Inc.,",10,14,91,1170,Casual,0.65,1,1,1,1,1,1,1,591.1660777,19.47349823,25.58780919
DUSK,39.99,12/10/2018,"New Blood Interactive,","David Szymanski,",98,166,98,12021,FPS,2,1,1,1,1,1,1,1,25383.08537,530.8170732,72.07170732
Medal of Honor™: Above and Beyond,59.99,12/10/2020,"Electronic Arts,","Respawn Entertainment,",58,34,63,1505,Action,0.18,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
SURV1V3,29.99,6/20/2021,"Candymakers,","Candymakers,",65,47,82,1110,Zombies,45,0,1,0,0,0,0,0,25623.46429,359.8928571,89.56321429
South Park™: The Stick of Truth™,59.99,3/3/2014,"Ubisoft,","Obsidian Entertainment,",98,347,97,36155,RPG,6,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
No Umbrellas Allowed,14.99,9/3/2021,"Hoochoo Game Studios,","Hoochoo Game Studios,",87,63,80,642,Simulation,1,1,1,0,1,0,0,0,2702.746479,57.28450704,36.66304225
Impostor Factory,29.99,9/30/2021,"Freebird Games,","Freebird Games,",0,0,96,3952,Indie,0.5,1,1,1,1,1,1,1,802.9269841,12.4984127,25.0667619
Stream Avatars,34.99,7/26/2017,"Travis Miller,","Travis Miller,",97,38,96,929,Animation,1,1,1,0,1,0,0,0,1027.8,12.7,35.986
Microsoft Flight Simulator X: Steam Edition,24.99,10/16/2006,"Xbox Game Studios,","Microsoft Game Studios,",90,162,85,18448,Flight,30,0,1,0,0,0,0,0,5897.9,70.6,24.09
Kingdoms and Castles,14.99,7/20/2017,"Lion Shield, LLC,","Lion Shield, LLC,",95,273,91,18056,City,1,1,1,1,1,1,1,1,10080,151.6071429,109.3332143
Assassin's Creed Revelations - Gold Edition,29.99,3/29/2012,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
